,text,classification,avg_syllable_count,avg_wordlength,avg_sentlengthbyword,count_functionalwords,punctuation_count_ratio,fleschreadingease,kincaid,gunningfogindex,dalechallindex,yulek,herdan,maas,msttr,mattr,simpsond,sem_spread,pos_sem_spread
0,"The Denver Guardian was a fake news website, known for a popular untrue story about Hillary Clinton posted on the site on November 5, 2016, three days before the 2016 U.S. presidential election, which Clinton lost. The story, entitled ""FBI Agent Suspected In Hillary Email Leaks Found Dead In Apparent Murder-Suicide"", alleged that an FBI agent investigating Clinton had been found dead in a Maryland house fire. 
The story was shared on Facebook (a news source for ""44 percent of U.S. adults"") more than half a million times and earned more than 15.5 million impressions. According to a Denver Post newspaper story on the Denver Guardian and the Clinton article,
While ""The Guardian"" claimed to be Denver's ""oldest"" news source, the site's domain was first registered only a few months before in July 2016;
the story on Clinton appeared to be the only article on the website (it was ""the only story showing up under the ""News"" section and all other sections are turning up errors""); 
while the story quoted a ""Walkerville Police Chief Pat Frederick"", Walkersville, Maryland, does not have a police department; but have Five Resident State Police officers  And the address the site listed for ""The Guardian"" newsroom was actually a parking lot. The site was registered anonymously and built using WordPress, but an investigator employed by National Public Radio found the site was operated by Jestin Coler, the founder, and CEO of Disinfomedia and owner of several other faux news sites.  As of March 27, 2017, the site still existed but had no news or any other content. As of January 28, 2018, the site does not exist anymore. When typing the address into a browser, it redirects to ""jestincoler.com"", a website owned by Coler himself, containing information about himself, his work, his 'achievements', and how to contact him. He openly admits doing morally questionable, but legal things, such as writing and publishing fake news articles for payment.",0.0,1.3416149068322982,5.712328767123288,35.77777777777778,0.3105590062111801,0.04039167686658507,16.44612195121954,27.26229268292683,29.89853658536585,13.389192926829269,117.82384141547833,0.8958401274729688,0.018086759701217085,0.9206349206349207,0.9227722772277246,0.011819670167312222,0.18576611380523672,0.09969788519637462
1," as the Bloody Mary crater, is a large depression located in the southern part of the Moon's surface. It was formed during a lunar impact event that occurred around 3.8 billion years ago, when a large object struck the Moon and caused a massive explosion that sent debris flying into space. The crater is about 120 kilometers (75 miles) wide and has a complex shape due to the interaction of the ejecta from the impact with the lunar surface. The name ""Bloody Creek"" comes from the fact that the crater was first observed by American astronomer Asaph Hall in 1834, who noticed that its appearance resembled a creek bed on Earth. Since then, it has been studied and imaged extensively by spacecraft such as Apollo missions, and is considered an important geological feature of the Moon's surface.",1.0,1.3284671532846715,5.809523809523809,27.4,0.3722627737226277,0.022796352583586626,-53.70499999999997,55.53,61.142857142857146,16.44535714285714,145.9533607681756,0.915063186564459,0.01731540377898673,0.9416666666666667,0.9415977961432506,0.014704256495301271,0.1819869620333016,0.11071428571428571
2,"Grandy Glaze (born March 4, 1992) is a Canadian professional basketball player who last played for the Niagara River Lions of the Canadian Elite Basketball League. Born in North York, Ontario, he started high school at St. Edmund Campion Secondary School in Brampton before attending three different schools in the United States, including Notre Dame Preparatory School in Fitchburg, Massachusetts. A former University of Nevada-Las Vegas (UNLV) signee, he began playing for Saint Louis at the college level, but after receiving limited playing time, he transferred to Grand Canyon, where he earned all-conference honors. After leaving college, Glaze was drafted by the Delaware 87ers of the NBA Development League but was released without playing any games. He made his professional debut in the Liga Nacional de Baloncesto Profesional, the top professional league in Mexico, for Correcaminos and also played a season with the Caballeros de Culiacán in the Circuito de Baloncesto de la Costa del Pacífico. In November 2017, Glaze was signed by the St. John's Edge, an expansion team in NBL Canada. He averaged 7.3 points and 6.1 rebounds per game for the Edge, helping the team to the Central Division finals.",0.0,1.38860103626943,6.131386861313868,27.571428571428573,0.29015544041450775,0.026522593320235755,-120.73153061224485,78.7908163265306,81.25714285714287,21.253100000000003,108.05968477926149,0.922646952067077,0.0147571120297653,0.9555555555555557,0.950095238095239,0.010863447033659799,0.17735922544094576,0.06887755102040817
3,"9K114 Shturm ( - ""Assault"", borrowed from German ""Sturm"" - Storm/Assault) - is a SACLOS radio guided anti-tank missile system of the Soviet Union. Its GRAU designation is 9K114. Its NATO reporting name is AT-6 Spiral. The missile itself is known as the 9M114 Kokon (Cocoon). Development
The missile called  9M114 Kokon (Cocoon) was developed by the Kolomna Machine Design Bureau, which was also responsible for the 3M6 Shmel and 9M14 Malyutka. Work on the missile began in 1967, with the hope of using the missile on Mi-24s. However, delays forced the design of an upgraded Falanga system (9M17 Skorpion) using SACLOS guidance as a stopgap. Testing of the missile was completed in 1974, and it was accepted into service in 1976. The missile has no direct western counterpart; in role it is similar to the TOW and HOT missiles which entered service around the same time, though the Shturm has greater weight, speed, and range.",0.0,1.3076923076923077,5.96,17.333333333333332,0.32894736842105265,0.02857142857142857,18.599264705882376,29.669836601307193,34.26013071895425,14.758285620915032,166.22222222222223,0.9045957702197481,0.019040346020126678,0.8962962962962963,0.9,0.0167337807606264,0.16929489304015127,0.10096153846153846
4,"Maritrema is a genus of trematodes (flukes) in the family Microphallidae, although some have suggested its placement in the separate family Maritrematidae. It was first described by Nikoll in 1907 from birds in Britain. Species of the genus usually infect birds, but several have switched hosts and are found in mammals, such as the marsh rice rat. Several species use the fiddler crab Uca pugilator as an intermediate host. Species include:
Maritrema acadiae (Swales, 1933)
Maritrema arenaria Hadley and Castle, 1940
Maritrema bonaerensis Etchegoin and Martorelli, 1997
Maritrema carpathica Matskasi, 1984
Maritrema chiriacae Deblock, 1975
Maritrema feliui Gracenea, Montoliu and Deblock, 1993
Maritrema gratiosum Nikoll, 1907
Maritrema heardi (Kinsella and Deblock, 1994)
Maritrema humile Nikoll, 1907
Maritrema lepidum Nikoll, 1907
Maritrema majestova Ke, 1976
Maritrema neomi Tkoch, 1998
Maritrema oocysta Lebour, 1907
Maritrema paracadiae Ching, 1974
Maritrema prosthometra Deblock and Heard, 1969
Maritrema pulcherrima Travassos, 1928
Maritrema pyrenaica Deblock and Combes, 1965
Maritrema subdolum Jägerskiöld, 1909
Maritrema Poulini 
Maritrema novaezealandense 
An undescribed species, ""Maritrema sp. I"", is known from clapper rails (Rallus crepitans) and marsh rice rats (Oryzomys palustris) in the eastern United States. M. heardi was placed in a separate genus Floridatrema upon its description in 1994 on the basis of a morphological difference, but was reassigned to Maritrema in 2005, as molecular data indicated that Maritrema would be paraphyletic without the inclusion of the species.",0.0,1.669603524229075,7.741935483870968,32.42857142857143,0.2643171806167401,0.026523297491039426,30.14354325190231,11.618231878253905,10.999519423307971,14.025726752102523,204.07201432745782,0.9062361031561337,0.017598738009927905,0.8717948717948718,0.8704861111111115,0.020506748756807955,0.20909025752248633,0.06927710843373494
5," an American politician who served as the Democratic member of the Washington State Senate from 2004 to 2017. She represented the 35th Legislative District in Seattle and was a vocal advocate for progressive causes such as education reform, healthcare, and environmental protection. Williams was also known for her work on behalf of women's rights and reproductive justice issues. In addition to her legislative work, she served as chair of the Senate Democratic Caucus from 2013 to 2015.",1.0,1.4675324675324675,6.851063829787234,19.25,0.37662337662337664,0.019464720194647202,-6.827307692307642,33.588974358974355,36.32820512820513,14.792992307692307,105.91672753834915,0.9180260133194027,0.019045712577634752,0.9833333333333334,0.9811111111111112,0.010736764161421697,0.16476179838901656,0.09810126582278482
6,"Sylvia Acevedo (born 1956/1957) is an American engineer and businesswoman.  She was the chief executive officer (CEO) of the Girl Scouts of the USA from 2016 to 2020. A systems engineer by education, she began her career at NASA's Jet Propulsion Laboratory, where she was on the Voyager 2 team. She has held executive roles at Apple, Dell, and Autodesk. In 2018, Acevedo was included in a Forbes list of ""America's Top 50 Women In Tech"". She was a founder, with 3 others of REBA Technology, an infiniband company that was sold and also the Founder and CEO of CommuniCard. As CEO of Girl Scouts of the USA, Acevedo led the organization's largest release of badges, over 100 badges in STEM and Outdoors over three years. Early life and education 
Sylvia Acevedo was born near Ellsworth Air Force Base in South Dakota where her father was serving as an officer in the military. Her family moved to Las Cruces, New Mexico. She joined the Girl Scouts at age 7.  She was active in the local Brownie troop, where she was encouraged to pursue her scientific interests in school. Acevedo collected newspaper articles about the space program and built Estes model rockets from a paper-and-plastic kits. ",0.0,1.3853658536585365,5.573529411764706,17.083333333333332,0.3170731707317073,0.028397565922920892,-16.62005980861241,41.5382057416268,46.01052631578948,15.241470334928232,128.2795888992702,0.8980382480341629,0.019262399454039392,0.9384615384615385,0.9261261261261263,0.01289274656108827,0.17878450428220646,0.07511737089201878
7,"Tevin Jermod Campbell (born November 12, 1976) is an American singer, songwriter and actor. He performed gospel in his local church from an early age. Following an audition for jazz musician Bobbi Humphrey in 1988, Campbell was signed to Warner Bros. Records. In 1989, Campbell collaborated with Quincy Jones performing lead vocals for ""Tomorrow"" on Jones' album Back on the Block and released his Platinum-selling debut album, T.E.V.I.N. The album included his highest-charting single to date, ""Tell Me What You Want Me to Do"", peaking at number 6 on the Billboard Hot 100.  The debut album also included the singles ""Alone With You"" (produced by Al B. Sure and Kyle West, with background vocals by K-Ci and JoJo from Jodeci), and ""Goodbye"". His double-Platinum-selling second album, I'm Ready, released in 1993, included two high-charting songs penned by Babyface; ""Can We Talk"" peaked at number 9 on the Hot 100 and number 1 on the Billboard R&B charts, and the album's title track ""I'm Ready"", which also peaked at number 9 on the Hot 100. In 1996, Campbell released his third album, Back to the World, which was not as commercially or critically successful as his first two releases. His fourth and most recent album, Tevin Campbell, was released in 1999, but performed poorly on Billboard's album charts.",0.0,1.2995391705069124,5.251461988304094,21.7,0.2488479262672811,0.0484903934126258,-137.4762389380531,88.579203539823,94.29380530973452,21.693091150442477,107.2445710217159,0.8937579826575626,0.019833903888525115,0.9285714285714287,0.9306397306397307,0.010775283913082356,0.18345411807891737,0.10087719298245615
8," area located in the state of Tamil Nadu, India. It was established in 1974 and covers an area of approximately 586 square kilometers (225 square miles). The sanctuary is spread across four districts - Salem, Namakkal, Pudukkottai and Krishnagiri - in the southern part of Tamil Nadu. The sanctuary is named after the Cauvery River, which flows through it. The main attraction of the sanctuary is its diverse range of flora and fauna, including several endangered species such as tigers, elephants, sloth bears, sambar deer, chital, wild boars, peafowl, etc. The sanctuary also has a rich variety of trees, herbs, and plants, some of which are found only in this region. It is an important breeding ground for many bird species such as the Indian babbler, wagtail babbler, and the black-capped lark.",1.0,1.393939393939394,6.0476190476190474,18.857142857142858,0.35384615384615387,0.035982008995502246,-55.26884615384614,53.26384615384616,57.230769230769226,17.129269230769232,132.6802653605307,0.9219107435256896,0.016120198307906113,0.95,0.9504424778761061,0.013373328333958255,0.1713498845364827,0.12499999999999999
9,"Highlands is a census-designated place (CDP) located along the Union Pacific Railroad, north of Interstate 10 and west of Farm to Market Road 2100, in an industrialized area of unincorporated Harris County, Texas, United States. The population was 7,522 at the 2010 census. History
The community was named Highlands because the east bank of the San Jacinto River, where Highlands is located, has a higher elevation than the west bank of the river. By 1908 Highlands became a station on the Beaumont, Sour Lake and Western Railway. A post office opened in 1929. Highlands incorporated in 1930, but its charter was voided, leaving Highlands as unincorporated again. In the 1930s Highlands had 20 businesses and its population decreased from 350 to 200. The 1936 Harris County highway map indicated two churches, a factory, a school, and a sawmill in Highlands. Highlands housed military members and war plant personnel during World War II. By 1948 Highlands had 3,000 residents and 75 businesses. In the 1950s local business decreased and the population decreased to 2,723. A 1956 attempt for Highlands to incorporate did not pass. In the 1960s Highlands had a canning sales company and an industrial chemical company. In the early 1960s Highlands had 4,336 residents and 82 businesses. In 1965 W. O. Hutson built the Double Trouble Youth Rodeo Arena. In the early 1970s Highlands had 3,462 residents and 66 businesses. By 1977 Highlands had 5,000 residents; in 1989 Highlands reported the same population. In 1990 Highlands had an estimated population of 6,632.",0.0,1.4229249011857708,6.138728323699422,14.055555555555555,0.25296442687747034,0.030557677616501147,-44.53115384615383,51.766153846153856,57.84615384615385,17.311461538461536,207.26193017524113,0.8793969730767237,0.022231177528759548,0.9111111111111112,0.8957746478873241,0.020817901836185725,0.16479857638279602,0.08823529411764705
